,ao_short_length,ao_long_length,Returns%,MaxR
0,3,27.0,40.35647546071334,
1,3,30.0,51.262396795984046,
2,3,33.0,48.25018683855217,
3,3,36.0,53.771137353532424,MR
4,3,39.0,48.74598017216417,
5,4,27.0,30.053739578930816,
6,4,30.0,34.53353945365541,
7,4,33.0,35.95313551683614,
8,4,36.0,43.310040906010954,
9,4,39.0,38.659586366325186,
10,5,27.0,27.656195114622662,
11,5,30.0,28.909417563242414,
12,5,33.0,27.990857805527625,
13,5,36.0,43.209636481111545,
14,5,39.0,41.315365269831034,
15,6,27.0,16.357370303867043,
16,6,30.0,24.71756745239435,
17,6,33.0,33.430829820032585,
18,6,36.0,40.74380237800054,
19,6,39.0,39.11609623287262,
20,7,27.0,19.439541645293104,
21,7,30.0,22.697587465204066,
22,7,33.0,34.44757430988949,
23,7,36.0,36.56475033470062,
24,7,39.0,41.05994267656408,
25,8,27.0,23.692097620046113,
26,8,30.0,25.895749299626004,
27,8,33.0,36.85578043145097,
28,8,36.0,37.95686779220759,
29,8,39.0,38.846104393712324,
