,roc_l1,roc_l2,roc_l3,roc_l4,sma_l1,sma_l2,sma_l3,sma_l4,Returns%,MaxR
0,8,12,16,25,8,8,8,12,36.015634848492596,
1,8,12,16,25,8,8,8,14,31.031076316460627,
2,8,12,16,25,8,8,8,16,35.71920168627557,
3,8,12,16,25,8,8,10,12,36.724904306816114,
4,8,12,16,25,8,8,10,14,37.20278325585261,
5,8,12,16,25,8,8,10,16,38.161018019944265,
6,8,12,16,25,8,10,8,12,31.39842575037298,
7,8,12,16,25,8,10,8,14,31.14445215277081,
8,8,12,16,25,8,10,8,16,42.405241689614854,
9,8,12,16,25,8,10,10,12,35.62062882382796,
10,8,12,16,25,8,10,10,14,37.138208810310346,
11,8,12,16,25,8,10,10,16,41.729665509111925,
12,8,12,16,25,10,8,8,12,33.269446116920676,
13,8,12,16,25,10,8,8,14,32.129394919016164,
14,8,12,16,25,10,8,8,16,34.814992294409194,
15,8,12,16,25,10,8,10,12,35.206537791970845,
16,8,12,16,25,10,8,10,14,36.29266159564912,
17,8,12,16,25,10,8,10,16,38.69216715290972,
18,8,12,16,25,10,10,8,12,33.76054579625375,
19,8,12,16,25,10,10,8,14,32.18080849293335,
20,8,12,16,25,10,10,8,16,39.87129801569182,
21,8,12,16,25,10,10,10,12,36.37549471930848,
22,8,12,16,25,10,10,10,14,37.33482481014022,
23,8,12,16,25,10,10,10,16,37.38243147334751,
24,8,12,16,27,8,8,8,12,39.627527224488205,
25,8,12,16,27,8,8,8,14,35.101352710937164,
26,8,12,16,27,8,8,8,16,36.7330603788335,
27,8,12,16,27,8,8,10,12,40.11443989781347,
28,8,12,16,27,8,8,10,14,40.71214444109387,
29,8,12,16,27,8,8,10,16,40.04747545957207,
30,8,12,16,27,8,10,8,12,37.75252919630256,
31,8,12,16,27,8,10,8,14,36.18073941373598,
32,8,12,16,27,8,10,8,16,40.42547440729996,
33,8,12,16,27,8,10,10,12,40.50720265037333,
34,8,12,16,27,8,10,10,14,42.877248236319616,
35,8,12,16,27,8,10,10,16,39.80765543395768,
36,8,12,16,27,10,8,8,12,35.008486323636475,
37,8,12,16,27,10,8,8,14,35.04031330660246,
38,8,12,16,27,10,8,8,16,36.554070498353894,
39,8,12,16,27,10,8,10,12,40.43110289394042,
40,8,12,16,27,10,8,10,14,39.65957254916859,
41,8,12,16,27,10,8,10,16,36.25962426840988,
42,8,12,16,27,10,10,8,12,36.57285967411784,
43,8,12,16,27,10,10,8,14,34.83727823620063,
44,8,12,16,27,10,10,8,16,35.71145738210433,
45,8,12,16,27,10,10,10,12,40.36530028916394,
46,8,12,16,27,10,10,10,14,39.459290888649946,
47,8,12,16,27,10,10,10,16,35.675141049845365,
48,8,12,16,29,8,8,8,12,33.67820062567023,
49,8,12,16,29,8,8,8,14,33.939266647508475,
50,8,12,16,29,8,8,8,16,32.087562569649776,
51,8,12,16,29,8,8,10,12,40.794073492503315,
52,8,12,16,29,8,8,10,14,37.558594724703994,
53,8,12,16,29,8,8,10,16,35.48877786631658,
54,8,12,16,29,8,10,8,12,35.77832545525433,
55,8,12,16,29,8,10,8,14,34.60326589768337,
56,8,12,16,29,8,10,8,16,36.70599228180791,
57,8,12,16,29,8,10,10,12,42.13902832823044,
58,8,12,16,29,8,10,10,14,34.56111106718399,
59,8,12,16,29,8,10,10,16,41.901535318418325,
60,8,12,16,29,10,8,8,12,32.407854013083806,
61,8,12,16,29,10,8,8,14,35.560730493986256,
62,8,12,16,29,10,8,8,16,34.02232623858475,
63,8,12,16,29,10,8,10,12,36.78767194061953,
64,8,12,16,29,10,8,10,14,36.95265539824075,
65,8,12,16,29,10,8,10,16,36.34797859343277,
66,8,12,16,29,10,10,8,12,32.60999118757553,
67,8,12,16,29,10,10,8,14,33.40195420869554,
68,8,12,16,29,10,10,8,16,35.50544381267579,
69,8,12,16,29,10,10,10,12,39.800642320800364,
70,8,12,16,29,10,10,10,14,35.53360380807223,
71,8,12,16,29,10,10,10,16,38.70949995041602,
72,8,12,16,31,8,8,8,12,32.880639573176694,
73,8,12,16,31,8,8,8,14,31.129677498239772,
74,8,12,16,31,8,8,8,16,29.978775154566392,
75,8,12,16,31,8,8,10,12,34.20213026335449,
76,8,12,16,31,8,8,10,14,34.63324662721129,
77,8,12,16,31,8,8,10,16,30.66423449967786,
78,8,12,16,31,8,10,8,12,37.733659669521245,
79,8,12,16,31,8,10,8,14,35.61625010933392,
80,8,12,16,31,8,10,8,16,35.79976555598597,
81,8,12,16,31,8,10,10,12,37.65170999007225,
82,8,12,16,31,8,10,10,14,38.09213955414867,
83,8,12,16,31,8,10,10,16,34.03540541943434,
84,8,12,16,31,10,8,8,12,33.70598472168325,
85,8,12,16,31,10,8,8,14,30.442203211203406,
86,8,12,16,31,10,8,8,16,31.77011033826301,
87,8,12,16,31,10,8,10,12,37.085362297211134,
88,8,12,16,31,10,8,10,14,37.274175124279736,
89,8,12,16,31,10,8,10,16,38.34874959372257,
90,8,12,16,31,10,10,8,12,32.190100202647216,
91,8,12,16,31,10,10,8,14,36.09522207241727,
92,8,12,16,31,10,10,8,16,38.34976654313337,
93,8,12,16,31,10,10,10,12,37.18682219340687,
94,8,12,16,31,10,10,10,14,37.324772673807615,
95,8,12,16,31,10,10,10,16,35.38930222175324,
96,8,12,16,33,8,8,8,12,25.654314688186545,
97,8,12,16,33,8,8,8,14,33.18573438852164,
98,8,12,16,33,8,8,8,16,39.81264725618294,
99,8,12,16,33,8,8,10,12,33.60943903319412,
100,8,12,16,33,8,8,10,14,36.68997160560315,
101,8,12,16,33,8,8,10,16,36.0774689786046,
102,8,12,16,33,8,10,8,12,36.135673372881996,
103,8,12,16,33,8,10,8,14,34.956170082162316,
104,8,12,16,33,8,10,8,16,37.047462938115274,
105,8,12,16,33,8,10,10,12,40.65829474134421,
106,8,12,16,33,8,10,10,14,40.533959187611885,
107,8,12,16,33,8,10,10,16,37.98867948964707,
108,8,12,16,33,10,8,8,12,27.26197268844207,
109,8,12,16,33,10,8,8,14,32.9856762949255,
110,8,12,16,33,10,8,8,16,35.293927185684026,
111,8,12,16,33,10,8,10,12,34.328237891968115,
112,8,12,16,33,10,8,10,14,33.99300045229015,
113,8,12,16,33,10,8,10,16,37.68956706099911,
114,8,12,16,33,10,10,8,12,30.986305857019033,
115,8,12,16,33,10,10,8,14,32.41485163874819,
116,8,12,16,33,10,10,8,16,39.10390627410911,
117,8,12,16,33,10,10,10,12,36.4481370215056,
118,8,12,16,33,10,10,10,14,37.94523947725014,
119,8,12,16,33,10,10,10,16,37.168543790496244,
120,8,12,18,25,8,8,8,12,37.55539855228008,
121,8,12,18,25,8,8,8,14,36.22004358316383,
122,8,12,18,25,8,8,8,16,37.45545851123174,
123,8,12,18,25,8,8,10,12,37.58991017069724,
124,8,12,18,25,8,8,10,14,37.2951226846038,
125,8,12,18,25,8,8,10,16,41.76493741117474,
126,8,12,18,25,8,10,8,12,38.34611359541876,
127,8,12,18,25,8,10,8,14,39.66251066771474,
