,macd_short_period,macd_long_period,macd_signal_smoothing,Returns%,MaxR
0,10,22,7,125.62740123188601,MR
1,10,22,8,104.9223247580658,
2,10,22,9,92.66394005846283,
3,10,22,10,94.59846617987711,
4,10,24,7,112.6111377327689,
5,10,24,8,101.56569230040003,
6,10,24,9,98.01060435063553,
7,10,24,10,85.60867465365254,
8,10,26,7,110.8822733103901,
9,10,26,8,97.16719306678775,
10,10,26,9,98.09752749664642,
11,10,26,10,82.82492603583282,
12,10,28,7,102.64337641998699,
13,10,28,8,97.01267073194958,
14,10,28,9,95.60340812036284,
15,10,28,10,82.74351361399383,
16,11,22,7,106.77058534666736,
17,11,22,8,98.3867538356237,
18,11,22,9,94.24521162018226,
19,11,22,10,81.82626026558717,
20,11,24,7,103.51565310261293,
21,11,24,8,96.746421124888,
22,11,24,9,94.82453512687363,
23,11,24,10,78.88724064601158,
24,11,26,7,100.65039928434533,
25,11,26,8,97.14362523142694,
26,11,26,9,86.48337060044977,
27,11,26,10,80.08660918279526,
28,11,28,7,101.55072577556058,
29,11,28,8,95.17854616804178,
30,11,28,9,85.8009847733893,
31,11,28,10,86.1298995076007,
32,12,22,7,102.6709689352218,
33,12,22,8,93.68306564908508,
34,12,22,9,82.37784081464483,
35,12,22,10,78.36329688961789,
36,12,24,7,99.03088619680773,
37,12,24,8,96.72290358533792,
38,12,24,9,78.84392747197913,
39,12,24,10,74.93552918379982,
40,12,26,7,97.29836521548006,
41,12,26,8,94.50662538731709,
42,12,26,9,80.20411951591538,
43,12,26,10,86.1298995076007,
44,12,28,7,97.96306684663463,
45,12,28,8,91.68910137254898,
46,12,28,9,87.02071994763622,
47,12,28,10,87.52260136311293,
48,13,22,7,98.1470365157605,
49,13,22,8,94.3421769616752,
50,13,22,9,78.63756102454485,
51,13,22,10,73.62466059497388,
52,13,24,7,97.67587380285852,
53,13,24,8,88.13344326788584,
54,13,24,9,76.46325485160148,
55,13,24,10,79.20872602158562,
56,13,26,7,95.17854616804178,
57,13,26,8,90.4516637079864,
58,13,26,9,86.1298995076007,
59,13,26,10,85.88881755680706,
60,13,28,7,104.1229058737429,
61,13,28,8,90.47012809643036,
62,13,28,9,88.20764972599682,
63,13,28,10,78.46288499319908,
