,wpr_length,Returns%,MaxR
0,4,231.69369247286784,MR
1,5,193.31292483017546,
2,6,183.1387843911382,
3,7,197.63812218009718,
4,8,143.2240404954115,
5,9,137.28875484343865,
6,10,108.91833255038321,
7,11,117.28310554388341,
8,12,133.37830857517832,
9,13,127.01609867891725,
10,14,110.35196288035453,
11,15,98.43706569177542,
12,16,79.08457573832825,
13,17,52.74706546141692,
14,18,60.50340873992846,
15,19,76.72742254087237,
16,20,81.57154385846843,
17,21,84.932373603287,
18,22,76.78509562173642,
19,23,83.849113167268,
