,Date,Price,Signal,Returns%
0,2014-10-30,8169.200195,BUY,-0.01999999999999602
1,2014-12-05,8538.299805,SELL,4.47638230036047
2,2014-12-17,8029.799805,BUY,4.455487023900403
3,2015-01-05,8378.400391,SELL,8.96845258827446
4,2015-01-07,8102.100098000001,BUY,8.946658897756805
5,2015-01-29,8952.349609,SELL,20.355648742239524
6,2015-02-26,8683.849609,BUY,20.331577612491074
7,2015-03-05,8937.75,SELL,23.8250899670182
8,2015-03-27,8341.400391,BUY,23.800324949024798
9,2015-04-13,8834.0,SELL,31.08510429080124
10,2015-04-30,8181.5,BUY,31.058887269943085
11,2015-05-05,8324.799805,SELL,33.32772613683329
12,2015-05-28,8319.0,BUY,33.30106059160593
13,2015-06-01,8433.400391,SELL,35.10714993035958
14,2015-06-09,8022.399901999999,BUY,35.08012850037352
15,2015-06-10,8124.450195,SELL,36.77107840344331
16,2015-06-19,8224.950195,BUY,36.74372418776264
17,2015-07-07,8510.799805,SELL,41.467811217543044
18,2015-07-10,8360.549805,BUY,41.43951765529954
19,2015-07-24,8521.549805,SELL,44.13440089733345
20,2015-07-30,8421.799805,BUY,44.105574017154
21,2015-08-11,8462.349609,SELL,44.7704625875034
22,2015-08-13,8355.849609,BUY,44.74150849498591
23,2015-08-19,8495.150391,SELL,47.125070439813385
24,2015-10-01,7950.899901999999,BUY,47.09564542572542
25,2015-11-04,8040.200195,SELL,48.71799619194368
26,2015-11-18,7731.799805,BUY,48.68825259270531
27,2015-12-03,7864.149901999999,SELL,51.203196564666285
28,2015-12-16,7750.899901999999,BUY,51.172955925353364
29,2015-12-31,7946.350098000001,SELL,54.9540045247968
30,2016-01-21,7276.799805,BUY,54.92301372389184
31,2016-02-10,7215.700195,SELL,53.59147904075212
32,2016-02-12,6980.950195,BUY,53.56076074494396
33,2016-03-23,7716.5,SELL,69.70678587777869
34,2016-03-29,7597.0,BUY,69.67284452060312
35,2016-04-04,7758.799805,SELL,73.25185487082462
36,2016-04-08,7555.200195,BUY,73.21720449985045
37,2016-04-27,7979.899901999999,SELL,82.9176549070157
38,2016-05-06,7733.450195,BUY,82.8810713760343
39,2016-06-23,8270.450195,SELL,95.54096199429225
40,2016-07-08,8323.200195,BUY,95.50185380189339
41,2016-08-09,8678.25,SELL,103.80077376761093
42,2016-08-29,8607.450195,BUY,103.76001361285742
43,2016-09-08,8952.5,SELL,111.88582544737369
44,2016-09-21,8777.150391,BUY,111.84344828228421
45,2016-09-23,8831.549805,SELL,113.11378976633299
46,2016-09-30,8611.150391,BUY,113.07116700837972
47,2016-10-10,8708.799805,SELL,115.44427104712508
48,2016-10-17,8520.400391,BUY,115.40118219291566
49,2016-11-01,8626.25,SELL,118.03351271665144
50,2016-11-24,7965.5,BUY,117.98990601410813
51,2016-12-21,8061.299805,SELL,120.56751370863466
52,2016-12-26,7908.25,BUY,120.52340020589295
53,2017-01-19,8435.099609,SELL,135.1676817858196
54,2017-01-23,8391.5,BUY,135.12064824946245
55,2017-03-21,9121.5,SELL,155.52333461346245
56,2017-03-31,9173.75,BUY,155.47222994653976
57,2017-04-06,9261.950195,SELL,157.87685905506953
58,2017-04-21,9119.400391,BUY,157.82528368325853
59,2017-05-04,9359.900391,SELL,164.57181682065988
60,2017-05-09,9316.849609,BUY,164.51890245729572
61,2017-05-17,9525.75,SELL,170.3957982172435
62,2017-05-24,9360.549805,BUY,170.34171905760007
63,2017-07-17,9915.950195,SELL,186.32494229878023
64,2017-08-14,9794.150391,BUY,186.2676773103205
65,2017-08-28,9912.799805,SELL,189.67766674192416
66,2017-09-11,10006.049805,BUY,189.61973120857579
67,2017-09-21,10121.900391,SELL,192.91436953299132
68,2017-10-11,9984.799805,BUY,192.85578665908474
69,2017-11-06,10451.799805,SELL,206.4916612903251
70,2017-11-15,10118.049805,BUY,206.43036295806706
71,2017-11-29,10361.299805,SELL,213.73455535105535
72,2017-12-06,10044.099609,BUY,213.67180843998517
73,2018-02-01,11016.900391,SELL,243.98304132094552
74,2018-03-09,10226.849609,BUY,243.91424471268135
75,2018-03-15,10360.150391,SELL,248.3272789145392
76,2018-03-23,9998.049805,BUY,248.25761345875628
77,2018-04-03,10245.0,SELL,256.7881476496587
78,2018-04-04,10128.400391,BUY,256.71679002012877
79,2018-05-22,10536.700195,SELL,271.02266916006556
80,2018-05-30,10614.349609,BUY,270.94846462623354
81,2018-06-18,10799.849609,SELL,277.3558004656683
82,2018-06-28,10589.099609,BUY,277.2803293055752
83,2018-08-01,11346.200195,SELL,304.1743079524745
84,2018-08-02,11244.700195,BUY,304.09347309088406
85,2018-08-09,11470.700195,SELL,312.13264499718525
86,2018-08-24,11557.099609,BUY,312.05021846818585
87,2018-08-31,11680.5,SELL,316.3665754472672
88,2018-09-12,11369.900391,BUY,316.28330213217777
89,2018-09-14,11515.200195,SELL,321.5188066703723
