,Date,Price,Signal,Returns%
0,2014-10-20,7879.399901999999,BUY,-0.01999999999999602
1,2014-12-05,8538.299805,SELL,8.31897013430698
2,2014-12-26,8200.700195,BUY,8.297306340280116
3,2015-01-05,8378.400391,SELL,10.621861618597137
4,2015-01-07,8102.100098000001,BUY,10.59973724627342
5,2015-01-13,8299.400391,SELL,13.270375476137374
6,2015-01-14,8277.549805,BUY,13.247721401042156
7,2015-02-03,8756.549805,SELL,19.77710847351885
8,2015-02-12,8711.549805,BUY,19.753153051824157
9,2015-02-25,8767.25,SELL,20.49473095188101
10,2015-02-26,8683.849609,BUY,20.470632005690632
11,2015-03-09,8756.75,SELL,21.457679262587547
12,2015-03-11,8699.950195,BUY,21.433387726735035
13,2015-03-12,8776.0,SELL,22.47038740750962
14,2015-04-01,8586.25,BUY,22.445893330028127
15,2015-04-17,8606.0,SELL,22.702996549905066
16,2015-05-08,8191.5,BUY,22.678455950595094
17,2015-05-11,8325.25,SELL,24.656601311067732
18,2015-05-13,8235.450195,BUY,24.63166999080552
19,2015-05-14,8224.200195,SELL,24.436525170513775
20,2015-05-15,8262.349609,BUY,24.411637865479676
21,2015-06-01,8433.400391,SELL,26.9618646548127
22,2015-06-17,8091.549805,BUY,26.936472281881734
23,2015-07-07,8510.799805,SELL,33.4867687146762
24,2015-07-09,8328.549805,BUY,33.460071360933256
25,2015-07-24,8521.549805,SELL,36.52547134549201
26,2015-07-31,8532.849609,BUY,36.498166251222926
27,2015-08-03,8543.049805,SELL,36.63400433298935
28,2015-08-05,8567.950195,BUY,36.606677532122745
29,2015-08-11,8462.349609,SELL,34.89600606950168
30,2015-09-11,7789.299805,BUY,34.86902686828779
31,2015-09-28,7795.700195,SELL,34.95285143370603
32,2015-09-29,7843.299805,BUY,34.9258608634193
33,2015-10-28,8171.200195,SELL,40.53851653750411
34,2015-11-24,7831.600098000001,BUY,40.510408834196625
35,2015-12-03,7864.149901999999,SELL,41.066181247174086
36,2015-12-16,7750.899901999999,BUY,41.03796801092466
37,2015-12-17,7844.350098000001,SELL,42.70987136128031
38,2015-12-18,7761.950195,BUY,42.68132938700805
39,2016-01-04,7791.299805,SELL,43.19219413998965
40,2016-01-28,7424.649901999999,BUY,43.16355570116167
41,2016-02-05,7489.100098000001,SELL,44.377415762464096
42,2016-02-23,7109.549805,BUY,44.34854027931161
43,2016-02-24,7018.700195,SELL,42.47547703631406
44,2016-02-29,6987.049805,BUY,42.446981940906795
45,2016-04-04,7758.799805,SELL,58.14923365682307
