,Date,Price,Signal,Returns%
0,2014-11-14,8389.900391,BUY,-0.01999999999999602
1,2014-11-18,8425.900391,SELL,0.3889197172664751
2,2014-11-26,8475.75,BUY,0.36884193332302573
3,2014-11-28,8588.25,SELL,1.68071358788481
4,2014-12-03,8537.650391,BUY,1.6603774451672422
5,2015-01-05,8378.400391,SELL,-0.25581314921639375
6,2015-02-10,8565.549805,BUY,-0.27576198658654505
7,2015-02-19,8895.299805,SELL,3.5426329595078982
8,2015-02-26,8683.849609,BUY,3.521924432915995
9,2015-03-03,8996.25,SELL,7.22466334424567
10,2015-03-11,8699.950195,BUY,7.203218411576827
11,2015-04-13,8834.0,SELL,8.833246579474263
12,2015-04-30,8181.5,BUY,8.81147993015837
13,2015-05-11,8325.25,SELL,10.701166868409615
14,2015-06-09,8022.399901999999,BUY,10.679026635035939
15,2015-06-26,8381.099609,SELL,15.604611562036482
16,2015-07-10,8360.549805,BUY,15.58149063972408
17,2015-07-20,8603.450195,SELL,18.915710264474427
18,2015-07-29,8375.049805,BUY,18.891927122421535
19,2015-09-21,7977.100098000001,SELL,13.219997852774299
20,2015-11-16,7806.600098000001,BUY,13.19735385320375
21,2015-12-02,7931.350098000001,SELL,14.983254008130814
22,2015-12-09,7612.5,BUY,14.960257357329183
23,2015-12-17,7844.350098000001,SELL,18.437852002083034
24,2016-01-18,7351.0,BUY,18.41416443168262
25,2016-02-01,7555.950195,SELL,21.691277720387532
26,2016-02-12,6980.950195,BUY,21.666939464843452
27,2016-02-22,7234.549805,SELL,26.061562894976916
28,2016-03-29,7597.0,BUY,26.03635058239793
29,2016-04-22,7899.299805,SELL,31.025378411811488
30,2016-05-06,7733.450195,BUY,30.999173336129132
31,2016-05-17,7890.75,SELL,33.636987967523936
32,2016-05-24,7748.850098000001,BUY,33.61026056993043
33,2016-06-08,8273.049805,SELL,42.620292470397885
34,2016-06-14,8108.850098000001,BUY,42.591768411903814
35,2016-07-07,8337.900391,SELL,46.59022722541823
36,2016-08-04,8551.099609,BUY,46.56090917997315
37,2016-09-08,8952.5,SELL,53.40999194362476
38,2016-09-15,8742.549805,BUY,53.37930994523603
39,2016-10-25,8691.299805,SELL,52.44968381449684
40,2016-11-04,8433.75,BUY,52.41919387773393
41,2016-12-01,8192.900391,SELL,48.03681897876598
42,2016-12-26,7908.25,BUY,48.00721161497023
43,2017-01-19,8435.099609,SELL,57.835915873682694
44,2017-02-15,8724.700195,BUY,57.804348690507965
45,2017-02-23,8939.5,SELL,61.65711201538568
46,2017-03-03,8897.549805,BUY,61.6247805929826
47,2017-03-17,9160.049805,SELL,66.35983772904851
48,2017-03-22,9030.450195,BUY,66.3265657615027
49,2017-04-27,9342.150391,SELL,72.03317534095953
50,2017-05-19,9427.900391,BUY,71.99876870589134
51,2017-06-05,9675.099609,SELL,76.47326868229743
52,2017-06-16,9588.049805,BUY,76.43797402856097
53,2017-07-17,9915.950195,SELL,82.43545752433846
54,2017-08-03,10013.650391,BUY,82.39897043283361
55,2017-09-01,9974.400391,SELL,81.64769358891155
56,2017-09-29,9788.599609,BUY,81.61136405019377
57,2017-10-18,10210.849609,SELL,89.40762911909164
58,2017-11-15,10118.049805,BUY,89.36974759326782
59,2017-11-28,10370.25,SELL,94.05111661773341
60,2017-12-06,10044.099609,BUY,94.01230639440988
61,2017-12-27,10490.75,SELL,102.59929865322127
62,2018-02-22,10382.700195,BUY,102.55877879349063
63,2018-02-27,10554.299805,SELL,105.8653785779733
64,2018-03-07,10154.200195,BUY,105.82420550225771
65,2018-03-14,10410.900391,SELL,110.98527676609501
66,2018-03-19,10094.25,BUY,110.94307971074178
67,2018-04-03,10245.0,SELL,114.05053661898827
68,2018-05-04,10618.25,BUY,114.00772651166449
69,2018-06-13,10856.700195,SELL,118.76985780194144
70,2018-06-19,10710.450195,BUY,118.72610383038105
71,2018-07-12,11023.200195,SELL,125.06798259459791
72,2018-08-13,11355.75,BUY,125.022968998079
73,2018-08-28,11738.5,SELL,132.560934782787
74,2018-09-06,11536.900391,BUY,132.51442259583044
