,Date,Price,Signal,Returns%
0,2014-10-28,8027.600098000001,BUY,-0.01999999999999602
1,2014-12-08,8438.25,SELL,5.073433336962921
2,2014-12-31,8282.700195,BUY,5.052418650295536
3,2015-01-06,8127.350098000001,SELL,3.0614419644117135
4,2015-01-07,8102.100098000001,BUY,3.0408296760188307
5,2015-01-13,8299.400391,SELL,5.528943896009437
6,2015-01-14,8277.549805,BUY,5.507838107230242
7,2015-02-09,8526.349609,SELL,8.657370361685139
8,2015-02-19,8895.299805,BUY,8.6356388876128
9,2015-03-09,8756.75,SELL,6.922182799092013
10,2015-04-06,8659.900391,BUY,6.9007983625322
11,2015-04-17,8606.0,SELL,6.214186252042609
12,2015-04-20,8448.099609,BUY,6.192943414792197
13,2015-04-22,8429.700195,SELL,5.9404697267857784
14,2015-05-15,8262.349609,BUY,5.919281632840423
15,2015-06-02,8236.450195,SELL,5.566146357617356
16,2015-06-22,8353.099609,BUY,5.545033128345835
17,2015-07-24,8521.549805,SELL,7.651939652845968
18,2015-07-28,8337.0,BUY,7.6304092649154
19,2015-08-03,8543.049805,SELL,10.268447702210551
20,2015-08-13,8355.849609,BUY,10.246394012670109
21,2015-08-19,8495.150391,SELL,12.06190023514506
22,2015-09-24,7868.5,BUY,12.03948785509803
23,2015-10-29,8111.75,SELL,15.480021394861751
24,2015-12-01,7954.899901999999,BUY,15.456925390582782
25,2015-12-07,7765.399901999999,SELL,12.683992799012117
26,2015-12-23,7865.950195,BUY,12.661456000452318
27,2016-01-06,7741.0,SELL,10.84966047554812
28,2016-01-29,7563.549805,BUY,10.82749054345301
29,2016-02-01,7555.950195,SELL,10.6939914416823
30,2016-02-05,7489.100098000001,BUY,10.671852643393962
31,2016-02-08,7387.25,SELL,9.144906679710928
32,2016-03-01,7222.299805,BUY,9.123077698374985
33,2016-05-04,7706.549805,SELL,16.416413520897876
34,2016-05-24,7748.850098000001,BUY,16.393130238193706
35,2016-06-23,8270.450195,SELL,24.203081719983274
36,2016-06-28,8127.850098000001,BUY,24.17824110363928
37,2016-08-19,8666.900391,SELL,32.38743152390609
38,2016-08-24,8650.299805,BUY,32.36095403760132
39,2016-08-26,8572.549805,SELL,31.14504261398926
40,2016-08-30,8744.349609,BUY,31.11881360546647
41,2016-09-26,8723.049805,SELL,30.773269756706156
42,2016-10-03,8738.099609,BUY,30.747115102754805
43,2016-10-05,8743.950195,SELL,30.808489773751745
44,2016-10-20,8699.400391,BUY,30.78232807579701
45,2016-10-25,8691.299805,SELL,30.634415906851473
46,2016-11-04,8433.75,BUY,30.608289023670096
47,2016-11-07,8497.049805,SELL,31.56225638092232
48,2016-12-05,8128.75,BUY,31.53594392964615
49,2016-12-16,8139.450195,SELL,31.6827480750145
50,2017-01-03,8192.25,BUY,31.656411525399506
51,2017-06-15,9578.049805,SELL,53.896605255516505
52,2017-06-16,9588.049805,BUY,53.86582593446539
53,2017-06-22,9630.0,SELL,54.50812086891864
54,2017-07-04,9613.299805,BUY,54.477219244744845
55,2017-08-09,9908.049805,SELL,59.181748146721134
56,2017-08-31,9917.900391,BUY,59.14991179709179
57,2017-09-22,9964.400391,SELL,59.864105722282346
58,2017-10-12,10096.400391,BUY,59.832132901137896
59,2017-11-13,10224.950195,SELL,61.83478072160983
60,2017-11-27,10399.549805,BUY,61.8024137654655
61,2017-11-29,10361.299805,SELL,61.1750559362803
62,2017-12-18,10388.75,BUY,61.14282092509305
63,2018-02-02,10760.599609,SELL,66.87730257870732
64,2018-02-26,10582.599609,BUY,66.84392711819157
65,2018-02-27,10554.299805,SELL,66.364476436035
66,2018-03-12,10421.400391,BUY,66.3312035407478
67,2018-03-13,10426.849609,SELL,66.38489238086362
68,2018-03-14,10410.900391,BUY,66.35161540238744
69,2018-03-15,10360.150391,SELL,65.50759330032812
70,2018-03-26,10130.650391,BUY,65.47449178166806
71,2018-03-27,10184.150391,SELL,66.31509347648611
72,2018-04-05,10325.150391,BUY,66.28183045779082
73,2018-05-17,10682.700195,SELL,72.00559871901896
74,2018-05-25,10605.150391,BUY,71.97119759927517
75,2018-05-28,10688.650391,SELL,73.29055342941234
76,2018-06-06,10684.650391,BUY,73.25589531872646
77,2018-06-26,10769.150391,SELL,74.59117152092085
78,2018-07-05,10749.75,BUY,74.55625328661668
79,2018-09-07,11589.099609,SELL,88.14811663072089
